day,hour,n_trades,high_price,low_price,btc_volume,usd_volume,candle_open_time,candle_close_time
28,2,1212,102428.06,101301.66,39.84542071,4063883.6964835096,1738029600151,1738033171790
28,3,1610,102879.43,102018.65,53.78097459,5506115.981213428,1738033201003,1738036795792
28,4,1284,103355.04,102591.3,29.00202493,2986235.5998804844,1738036809084,1738040399781
28,5,1334,103341.87,102827.48,31.84220436,3282917.532274694,1738040403686,1738043970729
28,6,536,103191.04,102621.0,11.64962119,1198718.9531782812,1738044002198,1738047560965
28,7,1201,103336.92,102516.01,39.91930246,4105878.381316722,1738047606693,1738051192782
28,8,1171,103025.74,102575.12,28.58824992,2937974.3973343447,1738051206194,1738054799520
28,9,1722,102948.85,102374.1,36.365436,3732826.446064769,1738054800018,1738058389783
28,10,911,103190.37,102573.11,19.23077535,1978977.8873094223,1738058404203,1738061983688
28,11,666,102907.93,102555.82,9.78570781,1005214.7820303243,1738062003228,1738065599545
28,12,1300,102990.63,102427.09,37.18513788,3820447.103995106,1738065600033,1738069199195
28,13,784,102932.37,102476.42,12.76654497,1310712.670274481,1738069207719,1738072792943
28,14,2893,102879.89,101821.84,107.6497152,11019876.9525061,1738072800352,1738076396933
28,15,3080,103800.0,102510.41,135.95565834,14007001.2798641,1738076402673,1738079986633
28,16,2738,102912.46,101914.83,83.57397712,8548814.284210607,1738080001754,1738083590031
28,17,2484,103081.45,102205.45,74.67951973,7666589.790754059,1738083600404,1738087190704
28,18,2009,103154.0,102126.09,71.14365302,7304094.306628365,1738087203618,1738090799221
28,19,1684,102650.39,101755.53,60.69158097,6203305.480314598,1738090801258,1738094399373
28,20,4233,102645.99,101152.55,140.33666558,14284981.193892865,1738094406943,1738097998185
28,21,2123,101484.47,100220.85,66.01896637,6668485.670388517,1738098002546,1738101599867
28,22,768,101321.51,100210.46,24.542625010000002,2469849.508683159,1738101602142,1738105167872
28,23,1073,101388.4,100717.29,45.59667501,4612974.645662695,1738105200038,1738108794253
29,0,1011,101772.51,101280.22,31.67317821,3214592.4387617563,1738108800242,1738112370740
29,1,691,101946.62,101425.35,21.31167963,2167172.8019368653,1738112400789,1738115966416
29,2,989,102286.16,101637.63,23.7951537,2427243.487684271,1738116028167,1738119590956
29,3,868,102145.0,101731.23,18.90047923,1927335.765959952,1738119622679,1738123178176
29,4,594,102157.52,101944.4,13.06158537,1332783.3549715327,1738123220291,1738126753423
29,5,748,102356.83,101932.44,21.75710669,2222907.0282951863,1738126804812,1738130381727
29,6,902,102818.12,102232.7,16.9383584,1735998.9732454761,1738130400011,1738133979121
29,7,548,102777.0,102422.91,11.65922278,1195876.5351498558,1738134038500,1738137526215
29,8,1127,102987.77,102639.94,24.18376589,2486318.5179241626,1738137605696,1738141179115
29,9,954,102717.3,102255.8,20.16994147,2068014.0311961758,1738141200037,1738144717811
29,10,741,102675.72,102150.29,15.39525679,1577364.6219345452,1738144801310,1738148359966
29,11,611,102778.52,102367.64,10.71291613,1098456.8969159264,1738148403333,1738151957050
29,12,985,102770.46,102176.87,28.44267377,2915854.2574960073,1738152000052,1738155580364
29,13,2054,102304.43,101678.61,48.96433766,4989348.842957594,1738155609089,1738159199959
29,14,2867,102305.98,101538.43,92.8474913,9469221.0375895,1738159200904,1738162795695
29,15,1757,102487.31,101743.71,52.32798056,5342979.310532882,1738162800303,1738166398953
29,16,1427,102134.23,101651.45,38.0533362,3879327.2546538548,1738166405473,1738169994521
29,17,1520,102783.03,101981.38,53.57242816,5487056.605847076,1738170003285,1738173597706
29,18,2148,103038.0,101971.86,102.71725311,10522180.832940128,1738173616170,1738177196266
29,19,5163,104030.0,101364.01,268.06061368,27574702.423247833,1738177200295,1738180799573
29,20,3884,104861.54,102871.15,175.55705046,18227367.57548399,1738180800085,1738184397152
29,21,2111,104413.81,103733.38,92.05753937,9580737.146101912,1738184400019,1738187995785
29,22,952,103960.58,103404.88,22.05814069,2284729.1762443474,1738188001467,1738191579513
29,23,1243,104339.11,103465.08,42.62597846,4429110.230501015,1738191600165,1738195174248
30,0,804,104126.82,103275.24,23.71580186,2458941.9348098785,1738195200260,1738198776534
30,1,556,104527.98,103914.17,13.09143469,1364666.5453116777,1738198815144,1738202364911
30,2,788,104673.26,104000.0,14.61121308,1524348.8864255936,1738202412578,1738205997856
30,3,1972,105150.0,104520.52,83.05230563,8716617.88750749,1738206006847,1738209592418
30,4,1705,105250.0,104746.69,115.92643649,12173109.782518985,1738209603511,1738213168705
30,5,1223,105400.0,105031.04,46.96567651,4943321.584460341,1738213227068,1738216794367
30,6,1439,105587.12,105142.13,49.20835992,5187665.701589734,1738216800168,1738220343000
30,7,1074,105341.28,104829.14,21.7974226,2288862.062656988,1738220406902,1738223989412
30,8,1132,105352.63,104930.21,18.46846594,1941831.7704046655,1738224005389,1738227597222
30,9,879,105540.38,105002.42,16.14337817,1699663.5741501322,1738227600936,1738231174563
30,10,910,105410.42,105105.42,17.51485942,1843061.3220735749,1738231202051,1738234798173
30,11,1040,105400.54,105052.99,14.73947574,1550848.8429681119,1738234801954,1738238395962
30,12,1185,105282.25,104837.55,17.85419116,1875174.49432911,1738238400089,1738241981851
30,13,2085,105356.0,104808.6,41.69883269,4382430.519259468,1738242044512,1738245598117
30,14,3360,106250.0,104620.32,110.8769481,11675513.50812665,1738245604824,1738249198297
